t_rel_s,ts_ns,value
53.940,1779427929772195508,nan
54.006,1779427929838696729,nan
54.077,1779427929909575522,nan
54.137,1779427929969662489,nan
54.208,1779427930040130620,nan
54.278,1779427930109877760,nan
54.336,1779427930168607035,nan
54.399,1779427930231116556,nan
54.476,1779427930308494768,nan
54.541,1779427930372931307,nan
54.609,1779427930441457253,nan
54.675,1779427930507380690,nan
54.742,1779427930574308323,nan
54.809,1779427930641167998,nan
54.867,1779427930699133408,nan
54.944,1779427930776559454,nan
55.007,1779427930839661050,nan
55.072,1779427930904032840,nan
55.142,1779427930974027018,nan
55.203,1779427931035580467,nan
55.274,1779427931106561050,nan
55.335,1779427931167760712,nan
55.404,1779427931236670154,nan
55.467,1779427931299074675,nan
55.538,1779427931370110674,nan
55.603,1779427931435635699,nan
55.675,1779427931507310440,nan
55.738,1779427931570160624,nan
55.806,1779427931637848622,nan
55.872,1779427931703857225,nan
55.938,1779427931769895868,nan
56.006,1779427931838080861,nan
56.070,1779427931902216986,nan
56.145,1779427931977173520,nan
56.214,1779427932046153586,nan
56.271,1779427932103521670,nan
56.343,1779427932175515990,nan
56.404,1779427932235785997,nan
56.476,1779427932308521808,nan
56.541,1779427932373285885,nan
56.607,1779427932438853201,nan
56.672,1779427932504680972,nan
56.731,1779427932563708328,nan
56.805,1779427932636918675,nan
56.876,1779427932708327419,nan
56.939,1779427932770899064,nan
57.009,1779427932841215530,nan
57.109,1779427932941735457,0.003227916546165943
57.139,1779427932971427049,0.0028195809572935104
57.209,1779427933040872901,0.0028195809572935104
57.276,1779427933108050197,0.0028195809572935104
57.343,1779427933175342992,0.002555433427914977
57.417,1779427933249285997,0.002555433427914977
57.476,1779427933308608515,0.0023150586057454348
57.541,1779427933373578214,0.0023150586057454348
57.607,1779427933439625274,0.002196091692894697
57.684,1779427933516744198,0.002196091692894697
57.744,1779427933576711583,0.0020489839371293783
57.815,1779427933647514252,0.0020489839371293783
57.876,1779427933708358959,0.0023345788940787315
